Attention,Meditation,Familiarity,MentalEffort,Appreciation,SignalQuality,EventTagging,Delta,Theta,Alpha,Beta,Gamma
4.000000,88.000000,42.741903,-1.850457,4.000000,1.000000,-1.000000,1.472007,3.784167,3.556369,1.728435,0.203550,
7.000000,88.000000,24.798020,-1.722540,2.000000,1.000000,-1.000000,1.265308,2.266559,1.555473,0.456721,0.105374,
1.000000,100.000000,56.310235,-0.320734,3.000000,1.000000,-1.000000,1.470161,2.288933,1.795470,0.730670,0.101992,
4.000000,91.000000,48.691607,-2.398431,4.000000,1.000000,-1.000000,1.665719,4.148044,2.189986,0.827328,0.220338,
3.000000,94.000000,41.347501,-2.042067,4.000000,1.000000,-1.000000,2.013071,2.070448,1.508290,1.025764,0.251099,
10.000000,87.000000,-20.070211,-2.153770,2.000000,1.000000,-1.000000,2.459988,3.950600,2.675683,0.516865,0.109558,
14.000000,56.000000,49.650799,-0.469368,2.000000,1.000000,-1.000000,2.170590,4.028985,2.265889,0.568515,0.082320,
13.000000,64.000000,25.824709,-3.871282,4.000000,1.000000,-1.000000,0.925449,2.895329,1.435360,0.530231,0.109117,
24.000000,56.000000,27.214147,-7.838517,4.000000,1.000000,-1.000000,1.996587,3.500681,1.813699,0.886790,0.151879,
17.000000,56.000000,38.904432,0.150897,4.000000,1.000000,-1.000000,2.575077,3.257457,2.017333,1.258341,0.187207,
8.000000,77.000000,14.430374,-0.786047,4.000000,1.000000,-1.000000,3.502812,3.897359,2.180607,1.332695,0.077748,
10.000000,78.000000,23.312664,-0.727173,4.000000,1.000000,-1.000000,3.313094,3.870830,1.662608,0.821903,0.136686,
11.000000,77.000000,21.546733,-1.302016,3.000000,1.000000,-1.000000,2.512789,2.699983,1.425999,0.817336,0.155139,
17.000000,77.000000,11.233550,-0.077346,3.000000,1.000000,-1.000000,1.701812,4.527469,2.626942,0.858387,0.119952,
37.000000,66.000000,8.160730,-0.359579,4.000000,1.000000,-1.000000,1.636656,2.518293,2.683838,1.238926,0.148702,
35.000000,75.000000,16.831159,-0.580367,4.000000,1.000000,-1.000000,2.104227,2.410709,1.644018,0.914010,0.163531,
24.000000,81.000000,4.213104,-1.680039,4.000000,1.000000,-1.000000,2.287980,3.626422,2.254341,1.198565,0.068582,
23.000000,64.000000,6.080199,0.098066,4.000000,1.000000,-1.000000,0.514749,0.868490,0.940148,0.628724,0.090884,
8.000000,77.000000,-6.278748,-0.026868,4.000000,1.000000,-1.000000,4.169301,2.796683,1.689648,1.895414,0.096712,
1.000000,81.000000,-35.038689,-4.781841,2.000000,1.000000,-1.000000,22.178764,13.473234,3.130799,1.784226,0.105101,
1.000000,66.000000,-28.449283,-3.742507,4.000000,1.000000,-1.000000,2.919725,4.625812,2.848238,0.635726,0.083419,
13.000000,88.000000,-5.978206,-5.105712,4.000000,1.000000,-1.000000,2.374710,4.203692,2.405679,0.655260,0.063421,
16.000000,78.000000,-43.525822,-0.272270,4.000000,1.000000,-1.000000,4.304530,3.462716,1.793181,1.855004,0.198650,
26.000000,70.000000,-36.934979,-0.982049,4.000000,1.000000,-1.000000,4.342475,4.821660,2.385675,0.646406,0.099148,
16.000000,88.000000,-27.902927,-3.773584,4.000000,1.000000,-1.000000,1.896118,3.294233,1.795367,0.439666,0.118350,
7.000000,91.000000,-57.463028,-2.183168,4.000000,1.000000,-1.000000,1.684191,2.024829,0.891447,0.879302,0.086792,
10.000000,96.000000,-36.500663,-2.167920,2.000000,1.000000,-1.000000,2.168400,3.644394,2.650882,0.802135,0.081614,
20.000000,83.000000,-54.937611,-1.268107,4.000000,1.000000,-1.000000,5.134929,5.808469,2.899507,1.580262,0.171756,
30.000000,74.000000,-56.712902,-0.280759,2.000000,1.000000,-1.000000,2.745217,6.164115,4.044752,1.779099,0.329959,
23.000000,53.000000,-51.779139,-0.174999,4.000000,1.000000,-1.000000,0.997277,3.419404,2.366978,0.495515,0.094153,
24.000000,57.000000,-50.479245,-0.333438,4.000000,1.000000,-1.000000,1.155483,3.192150,2.631638,0.987771,0.082766,
26.000000,53.000000,-49.325045,-2.047486,4.000000,1.000000,-1.000000,0.923994,2.088011,1.677343,0.788529,0.102126,
17.000000,44.000000,-46.014527,-0.491213,4.000000,1.000000,-1.000000,1.206824,1.484576,0.797245,0.323998,0.040460,
30.000000,50.000000,-44.672127,-1.117493,4.000000,1.000000,-1.000000,3.022143,4.983857,2.725188,1.173682,0.222961,
34.000000,44.000000,-57.526039,-4.282988,4.000000,1.000000,-1.000000,1.829608,3.962794,2.324994,0.679725,0.132988,
21.000000,53.000000,-61.208032,-0.578069,4.000000,1.000000,-1.000000,1.512338,3.616937,2.391400,0.539911,0.122824,
30.000000,61.000000,-78.030828,-1.184719,4.000000,1.000000,-1.000000,2.628899,6.312365,3.594922,1.390099,0.456180,
16.000000,66.000000,-51.260782,-2.816007,4.000000,1.000000,-1.000000,2.423614,2.290901,1.667609,0.593569,0.107237,
10.000000,80.000000,-52.686595,-0.498918,4.000000,1.000000,-1.000000,3.668486,3.965773,2.190567,0.805156,0.080346,
14.000000,87.000000,-56.461200,-0.594478,4.000000,1.000000,-1.000000,1.280580,2.543500,1.638957,0.892110,0.167328,
13.000000,80.000000,-65.653584,-0.700559,4.000000,1.000000,-1.000000,3.586212,4.401983,2.486207,0.852709,0.112490,
27.000000,81.000000,-47.530268,-0.421129,3.000000,1.000000,-1.000000,3.495271,3.719851,2.218906,0.790920,0.121188,
44.000000,61.000000,-46.821266,-0.524245,4.000000,1.000000,-1.000000,0.833226,2.202323,1.586893,0.793067,0.075894,
43.000000,51.000000,-47.134986,-0.396560,4.000000,1.000000,-1.000000,0.855594,1.802082,1.452198,1.008259,0.209122,
50.000000,60.000000,-56.032724,-3.330884,4.000000,1.000000,-1.000000,3.118400,4.095548,1.955964,0.845143,0.132868,
48.000000,67.000000,-64.464410,-7.845867,4.000000,1.000000,-1.000000,4.484999,4.569466,2.618138,1.218030,0.293998,
37.000000,75.000000,-69.895612,-0.760333,3.000000,1.000000,-1.000000,1.915945,4.069907,2.730896,0.588866,0.048083,
43.000000,78.000000,-68.193241,-0.712857,4.000000,1.000000,-1.000000,0.908406,1.828915,1.708603,0.664453,0.052938,
41.000000,67.000000,-61.290006,-0.661301,4.000000,1.000000,-1.000000,0.952819,1.399485,1.663370,1.037960,0.095530,
48.000000,64.000000,-73.095924,-1.056591,4.000000,1.000000,-1.000000,3.186492,3.753875,1.508495,1.146083,0.082938,
50.000000,63.000000,-68.244564,-1.000190,4.000000,1.000000,-1.000000,2.847657,4.787208,2.570891,0.550595,0.097174,
40.000000,64.000000,-131.861923,-1.521249,2.000000,1.000000,-1.000000,3.945897,2.761982,1.815702,0.855617,0.289109,
37.000000,63.000000,-95.608038,-0.399517,2.000000,1.000000,-1.000000,1.940379,2.353145,1.422692,0.712081,0.271109,
24.000000,67.000000,-65.628616,-0.122624,4.000000,1.000000,-1.000000,2.348100,6.273533,3.874191,0.663079,0.055788,
34.000000,53.000000,-68.096448,-0.248035,4.000000,1.000000,-1.000000,1.431250,2.909610,1.334552,0.503041,0.048437,
40.000000,64.000000,-68.009992,-3.579478,4.000000,1.000000,-1.000000,1.631761,3.669814,1.880951,0.899246,0.201456,
40.000000,63.000000,-63.213336,-4.220387,4.000000,1.000000,-1.000000,2.326988,4.449219,2.799810,1.076481,0.177375,
40.000000,40.000000,-71.795412,-3.308706,4.000000,1.000000,-1.000000,2.777325,3.647994,2.982797,1.034082,0.198114,
30.000000,53.000000,-71.072260,-0.298088,4.000000,1.000000,-1.000000,2.655726,3.129950,1.574981,0.937358,0.122127,
29.000000,53.000000,-64.968532,-0.883708,4.000000,1.000000,-1.000000,3.091009,4.601938,2.617977,1.179896,0.284315,
16.000000,64.000000,-62.998656,-0.745631,4.000000,1.000000,-1.000000,6.009878,5.061763,4.604322,1.619988,0.498006,
24.000000,81.000000,-67.731909,-1.035225,4.000000,1.000000,-1.000000,5.991583,6.549273,3.589984,0.810042,0.178767,
26.000000,80.000000,-56.087573,-1.732924,4.000000,1.000000,-1.000000,2.834452,5.022959,2.520650,1.105036,0.161104,
29.000000,70.000000,-64.150645,-3.768037,4.000000,1.000000,-1.000000,4.092161,4.209310,2.578225,1.316471,0.187261,
38.000000,60.000000,-73.883216,-0.086426,3.000000,1.000000,-1.000000,1.936041,3.049682,1.124298,0.566361,0.176193,
35.000000,63.000000,-67.086564,-3.090791,4.000000,1.000000,-1.000000,1.923262,4.920021,3.230833,0.676699,0.098534,
27.000000,74.000000,-121.971108,-1.384488,2.000000,1.000000,-1.000000,3.204738,3.598316,1.959622,0.838996,0.225926,
24.000000,80.000000,-52.334869,-4.635836,4.000000,1.000000,-1.000000,5.881875,5.332053,4.171957,1.343878,0.265030,
21.000000,100.000000,-49.153750,-3.858523,2.000000,1.000000,-1.000000,3.662570,3.628202,1.661486,1.020192,0.307143,
17.000000,100.000000,-54.225430,-0.437185,4.000000,1.000000,-1.000000,0.692067,1.738961,1.150180,0.404740,0.072664,
16.000000,96.000000,-56.579838,-0.568921,4.000000,1.000000,-1.000000,3.572523,3.856119,2.254215,0.954499,0.102440,
14.000000,96.000000,-50.348336,-1.448323,4.000000,1.000000,-1.000000,2.314555,2.410786,2.150084,1.185750,0.229053,
11.000000,77.000000,-42.364208,-0.686644,4.000000,1.000000,-1.000000,1.177842,3.530717,1.922730,0.788877,0.084481,
7.000000,64.000000,-36.908257,-0.406424,4.000000,1.000000,-1.000000,1.760722,3.084809,1.859065,0.764412,0.101832,
14.000000,67.000000,-43.663254,-0.627705,4.000000,1.000000,-1.000000,1.143856,2.892038,2.040957,0.517162,0.108024,
21.000000,64.000000,-38.608567,-1.028987,4.000000,1.000000,-1.000000,1.474556,1.829231,0.831936,0.348012,0.058568,
30.000000,74.000000,-45.317778,-0.101773,4.000000,1.000000,-1.000000,0.739558,2.454888,2.180152,0.834540,0.089767,
40.000000,81.000000,-65.841390,-0.671085,4.000000,1.000000,-1.000000,3.655490,4.322162,2.171570,0.815305,0.152032,
29.000000,96.000000,-51.149089,-0.098305,4.000000,1.000000,-1.000000,2.225654,3.161647,1.736929,0.783768,0.061418,
24.000000,100.000000,-64.077508,-0.974206,4.000000,1.000000,-1.000000,3.689208,3.140406,1.714077,0.656409,0.079714,
24.000000,100.000000,-54.962452,-0.009770,4.000000,1.000000,-1.000000,1.339296,1.529990,1.299135,0.501429,0.048691,
27.000000,100.000000,-37.531260,-1.288663,4.000000,1.000000,-1.000000,1.924650,1.507407,0.751166,0.812371,0.120613,
21.000000,93.000000,-34.135097,0.311985,4.000000,1.000000,-1.000000,1.706050,4.657494,2.643916,0.585419,0.089661,
21.000000,81.000000,-29.431065,-1.203603,4.000000,1.000000,-1.000000,1.842197,4.387206,3.259152,0.695549,0.153563,
14.000000,69.000000,-23.753089,-1.914005,4.000000,1.000000,-1.000000,11.612465,9.922461,3.264619,2.385755,0.251509,
1.000000,78.000000,-54.286452,-3.663175,4.000000,1.000000,-1.000000,2.178298,4.700430,4.656383,1.497152,0.280018,
21.000000,70.000000,-38.828050,-4.121935,4.000000,1.000000,-1.000000,4.416756,7.392387,2.492115,1.091103,0.370524,
20.000000,83.000000,-31.837201,-0.383170,4.000000,1.000000,-1.000000,37.889036,58.201966,49.889500,44.727323,4.376569,
16.000000,84.000000,-28.076026,-0.145996,4.000000,1.000000,-1.000000,8.999318,9.943222,5.947554,3.358610,0.311706,
17.000000,70.000000,-32.099177,-1.118233,4.000000,1.000000,-1.000000,2.748976,3.430985,1.697917,0.561720,0.135605,
10.000000,75.000000,-39.900724,-1.196730,4.000000,1.000000,-1.000000,3.512781,4.382554,2.488386,0.667195,0.145669,
27.000000,63.000000,-25.894205,-0.704288,4.000000,1.000000,-1.000000,1.283418,2.688055,1.877925,0.835024,0.091491,
51.000000,54.000000,2.544334,0.545913,2.000000,1.000000,-1.000000,2.051151,4.774438,2.954308,0.576058,0.113485,
70.000000,67.000000,12.142765,1.086390,4.000000,1.000000,-1.000000,2.092463,5.165541,3.970566,1.306733,0.121928,
67.000000,77.000000,19.886697,0.781088,4.000000,1.000000,-1.000000,1.032093,3.142473,2.244340,0.751760,0.061223,
51.000000,77.000000,15.904290,-0.777659,4.000000,1.000000,-1.000000,2.142686,3.688594,2.727628,1.172333,0.149551,
37.000000,87.000000,9.414560,1.390792,4.000000,1.000000,-1.000000,2.461973,4.478951,2.730839,1.099207,0.109306,
29.000000,77.000000,22.091709,1.357189,4.000000,1.000000,-1.000000,0.935040,1.758574,0.915922,0.639789,0.087489,
30.000000,69.000000,-8.036384,1.373503,4.000000,1.000000,-1.000000,2.285146,1.998063,0.785099,0.593223,0.162024,
26.000000,61.000000,0.723631,0.148849,4.000000,1.000000,-1.000000,1.010927,1.621477,1.379360,0.578525,0.070080,
23.000000,74.000000,21.019587,-1.704580,4.000000,1.000000,-1.000000,0.874902,2.609130,1.364438,0.901227,0.117615,
14.000000,67.000000,19.705959,-4.958954,4.000000,1.000000,-1.000000,1.755687,2.710093,1.369976,0.914977,0.094873,
20.000000,54.000000,22.138723,-5.667964,4.000000,1.000000,-1.000000,2.959345,2.837492,0.963758,0.585003,0.097502,
24.000000,67.000000,18.009026,0.551084,4.000000,1.000000,-1.000000,2.432913,3.488022,2.221384,0.596740,0.092923,
27.000000,67.000000,18.038607,1.560555,4.000000,1.000000,-1.000000,2.368395,3.227706,1.634441,0.719646,0.112860,
37.000000,80.000000,24.171938,1.445059,4.000000,1.000000,-1.000000,0.659988,1.671710,1.243537,0.930711,0.058786,
20.000000,81.000000,9.423943,1.508538,2.000000,1.000000,-1.000000,2.210254,4.505951,3.330839,0.890746,0.151440,
17.000000,77.000000,18.419559,0.895284,4.000000,1.000000,-1.000000,2.996329,2.486824,1.182917,0.722229,0.082777,
26.000000,51.000000,15.730501,1.555532,4.000000,1.000000,-1.000000,0.784244,3.451692,3.077456,0.455748,0.040218,
37.000000,34.000000,19.320587,1.543862,4.000000,1.000000,-1.000000,4.260891,4.428127,2.283646,1.176534,0.059941,
51.000000,40.000000,0.825067,-1.801038,4.000000,1.000000,-1.000000,6.048625,6.044993,2.707138,3.310961,0.472286,
48.000000,35.000000,21.132250,1.326478,4.000000,1.000000,-1.000000,2.684174,2.709182,1.397102,0.783999,0.080021,
35.000000,38.000000,8.520715,1.629091,4.000000,1.000000,-1.000000,9.035090,7.884945,2.826528,1.181438,0.110979,
24.000000,38.000000,13.369140,1.074980,2.000000,1.000000,-1.000000,1.607538,3.047667,3.350973,2.724677,0.148785,
16.000000,50.000000,1.390023,0.821853,4.000000,1.000000,-1.000000,2.313005,3.190683,1.822239,1.001525,0.059256,
20.000000,47.000000,-10.560477,1.377954,4.000000,1.000000,-1.000000,2.920269,4.060905,1.880512,0.721498,0.096806,
27.000000,53.000000,19.495630,0.891247,4.000000,1.000000,-1.000000,1.615954,2.739156,2.233229,0.757368,0.116686,
26.000000,60.000000,19.533818,-2.090760,4.000000,1.000000,-1.000000,2.051746,2.286555,0.892219,0.373380,0.054724,
30.000000,38.000000,15.732389,0.191386,4.000000,1.000000,-1.000000,2.081667,3.432157,2.244124,1.081745,0.160511,
37.000000,38.000000,-84.417400,-1.372501,4.000000,1.000000,-1.000000,1.838300,2.646727,2.277434,0.712829,0.117392,
37.000000,44.000000,18.679814,0.986785,4.000000,1.000000,-1.000000,2.501055,2.020432,1.893612,1.439354,0.289414,
30.000000,43.000000,32.632552,-1.777903,2.000000,1.000000,-1.000000,3.713337,4.762754,2.883087,0.874913,0.095671,
35.000000,61.000000,34.271266,-1.134995,4.000000,1.000000,-1.000000,0.867947,2.665693,2.392509,0.707669,0.097102,
26.000000,74.000000,21.108011,-0.278326,2.000000,1.000000,-1.000000,3.717908,4.631209,2.479671,1.275409,0.193154,
24.000000,69.000000,28.169341,1.037981,2.000000,1.000000,-1.000000,3.737641,8.211478,4.211216,1.127424,0.174980,
43.000000,80.000000,25.378036,0.914462,4.000000,1.000000,-1.000000,2.335742,2.849631,1.987676,0.991380,0.124971,
35.000000,84.000000,11.633726,1.060541,4.000000,1.000000,-1.000000,1.420324,2.644247,1.517538,0.825227,0.140492,
48.000000,81.000000,13.679441,1.408004,4.000000,1.000000,-1.000000,1.148498,2.416379,2.136031,0.638495,0.120127,
56.000000,83.000000,20.206391,1.096970,4.000000,1.000000,-1.000000,2.256663,4.170286,2.657150,0.643434,0.083865,
50.000000,80.000000,-5.016693,-3.270439,4.000000,1.000000,-1.000000,2.608455,4.245507,2.833605,0.775429,0.114066,
56.000000,74.000000,16.268770,1.448772,4.000000,1.000000,-1.000000,2.758246,3.213001,1.455062,0.732713,0.101741,
50.000000,81.000000,3.256735,1.050976,2.000000,1.000000,-1.000000,2.060094,4.055939,3.092956,0.585984,0.092333,
41.000000,78.000000,15.991300,0.407400,4.000000,1.000000,-1.000000,2.430252,3.908127,2.393341,1.045981,0.083447,
44.000000,87.000000,7.418947,0.142915,4.000000,1.000000,-1.000000,5.132752,5.462198,2.930060,0.843341,0.076383,
35.000000,74.000000,11.779877,0.754990,4.000000,1.000000,-1.000000,2.049016,2.627109,1.471872,0.728372,0.126821,
23.000000,70.000000,1.639229,0.425501,4.000000,1.000000,-1.000000,1.315021,4.049367,2.737930,0.801869,0.086376,
23.000000,60.000000,-35.955378,0.860844,4.000000,1.000000,-1.000000,4.145937,3.895464,3.339788,1.890685,0.369125,
1.000000,67.000000,6.326962,0.345370,2.000000,1.000000,-1.000000,3.269943,4.304139,2.348438,0.606179,0.102166,
1.000000,83.000000,6.182951,1.518325,4.000000,1.000000,-1.000000,1.795039,3.861454,2.590361,0.712120,0.079764,
7.000000,75.000000,5.487192,1.601463,4.000000,1.000000,-1.000000,1.329543,1.133017,0.642985,0.918350,0.139420,
8.000000,96.000000,4.612758,1.580377,3.000000,1.000000,-1.000000,4.333512,3.956913,1.454935,1.006187,0.163243,
23.000000,88.000000,12.260889,1.673795,4.000000,1.000000,-1.000000,2.819199,4.055467,3.018316,1.191283,0.181900,
30.000000,87.000000,2.675264,1.467605,4.000000,1.000000,-1.000000,1.205300,2.029001,1.664330,0.981642,0.109585,
35.000000,97.000000,8.567181,0.663893,4.000000,1.000000,-1.000000,1.022451,1.993978,1.142538,0.503744,0.038577,
