Attention,Meditation,Familiarity,MentalEffort,Appreciation,SignalQuality,EventTagging,Delta,Theta,Alpha,Beta,Gamma
30.000000,30.000000,-36.297066,-2.129194,2.000000,1.000000,-1.000000,0.521694,0.776957,0.405022,0.144817,0.065005,
34.000000,44.000000,-41.895343,-4.012090,2.000000,1.000000,-1.000000,0.659461,0.813799,0.515228,0.336992,0.068341,
38.000000,44.000000,-75.364802,-5.653393,2.000000,1.000000,-1.000000,2.053707,3.037715,1.129371,0.458139,0.121748,
48.000000,70.000000,-40.908932,-2.547212,2.000000,1.000000,-1.000000,16.836399,14.888650,10.792385,6.226813,1.445153,
47.000000,75.000000,-44.196991,-2.735315,2.000000,1.000000,-1.000000,1.450861,1.671670,0.793062,0.167419,0.027164,
53.000000,70.000000,-44.441078,-3.194637,4.000000,1.000000,-1.000000,9.734972,7.638541,10.537902,8.177095,1.613601,
38.000000,75.000000,-59.906752,-3.133793,2.000000,1.000000,-1.000000,9.423825,7.174491,4.006473,2.880306,0.415337,
35.000000,60.000000,-46.728055,-5.808253,2.000000,1.000000,-1.000000,2.063015,1.755300,1.592659,0.889268,0.205468,
47.000000,54.000000,-45.700255,-2.403217,2.000000,1.000000,-1.000000,2.878305,5.898273,4.665179,2.789126,0.739835,
37.000000,51.000000,-49.301340,-2.259296,2.000000,1.000000,-1.000000,24.734913,27.717193,17.820722,7.431474,2.138109,
38.000000,38.000000,-66.576263,-3.471097,2.000000,1.000000,-1.000000,1.791957,1.570689,0.563657,0.508576,0.078157,
43.000000,41.000000,-42.764374,-4.122361,2.000000,1.000000,-1.000000,2.302640,2.857368,2.309143,2.101982,0.329160,
35.000000,34.000000,-65.152656,-3.619466,2.000000,1.000000,-1.000000,11.103537,10.924773,6.394275,6.734932,1.789271,
51.000000,27.000000,-57.586020,-5.484412,2.000000,1.000000,-1.000000,1.727897,1.998835,1.142356,0.301361,0.053552,
80.000000,27.000000,-38.789439,-3.344395,2.000000,1.000000,-1.000000,14.269572,14.839051,10.520780,5.040845,1.114966,
69.000000,20.000000,-39.053825,-3.420230,2.000000,1.000000,-1.000000,0.836325,2.357773,1.731644,0.725729,0.245247,
61.000000,29.000000,-53.999701,-7.252425,2.000000,1.000000,-1.000000,0.741628,1.358373,0.910875,0.812848,0.123229,
53.000000,24.000000,-51.550056,-10.123397,2.000000,1.000000,-1.000000,12.245447,14.213420,11.150332,6.393170,1.165714,
30.000000,26.000000,-51.561697,-4.955228,2.000000,1.000000,-1.000000,1.937103,7.019392,4.910053,1.711703,0.347221,
47.000000,26.000000,-54.567564,-4.391152,2.000000,1.000000,-1.000000,19.395348,13.648103,8.204699,14.482186,2.561661,
54.000000,23.000000,-56.483659,-4.276538,2.000000,1.000000,-1.000000,3.050600,6.964401,4.901429,1.520049,0.493701,
48.000000,26.000000,-25.927227,-3.871918,2.000000,1.000000,-1.000000,5.363030,4.212925,5.918547,4.644654,0.812571,
54.000000,26.000000,-19.168343,-7.451960,2.000000,1.000000,-1.000000,27.144601,24.007851,6.874406,9.536989,1.015744,
53.000000,23.000000,-27.483266,-4.133257,2.000000,1.000000,-1.000000,14.991353,7.152367,7.840883,10.083386,1.660213,
51.000000,29.000000,-21.695260,-3.364941,2.000000,1.000000,-1.000000,1.045294,1.472984,1.587993,0.885991,0.155518,
48.000000,21.000000,-21.607061,-3.393535,2.000000,1.000000,-1.000000,2.121379,4.766133,3.286391,1.167827,0.259004,
43.000000,11.000000,-21.321142,-3.162449,2.000000,1.000000,-1.000000,2.359084,3.931936,3.993334,1.697384,0.275803,
40.000000,10.000000,-19.737744,-4.682870,2.000000,1.000000,-1.000000,1.038947,1.245438,0.630195,0.282488,0.027648,
43.000000,4.000000,-25.271131,-3.130220,2.000000,1.000000,-1.000000,22.708562,18.573807,14.838726,6.556626,2.100115,
50.000000,13.000000,-8.574792,-2.850052,2.000000,1.000000,-1.000000,8.290481,6.772485,5.084318,6.322366,1.199902,
43.000000,16.000000,-10.331253,-8.162196,2.000000,1.000000,-1.000000,12.166602,16.154107,7.824706,5.609412,1.497909,
51.000000,20.000000,-28.266478,-3.418997,2.000000,1.000000,-1.000000,4.186864,7.779501,3.723217,1.130499,0.224560,
43.000000,24.000000,-13.974254,-3.325468,3.000000,1.000000,-1.000000,17.488917,17.335521,10.352207,5.223841,2.040106,
44.000000,27.000000,-13.053095,-2.424741,2.000000,1.000000,-1.000000,2.811577,4.390627,2.194671,0.675231,0.092401,
53.000000,30.000000,-13.412077,-3.962256,2.000000,1.000000,-1.000000,14.732811,24.901952,17.905537,8.693310,1.736978,
29.000000,29.000000,-17.203109,-4.596955,3.000000,1.000000,-1.000000,8.930140,10.748726,9.062197,3.642146,0.739534,
30.000000,27.000000,-10.145807,-4.698831,3.000000,1.000000,-1.000000,22.789379,15.699546,8.110355,5.182775,1.423960,
21.000000,11.000000,-31.418491,-2.999644,2.000000,1.000000,-1.000000,45.176189,35.006164,13.498780,7.403433,2.181686,
13.000000,3.000000,-27.066462,-3.836108,3.000000,1.000000,-1.000000,4.666424,2.650142,1.976618,1.860489,0.208383,
26.000000,7.000000,-23.911432,-2.375435,2.000000,1.000000,-1.000000,10.091534,12.743194,14.375713,6.365513,1.137177,
17.000000,3.000000,-24.621892,-2.617810,2.000000,1.000000,-1.000000,3.511426,8.508122,7.075964,5.758552,1.377548,
26.000000,23.000000,-36.058378,-3.079403,2.000000,1.000000,-1.000000,0.761805,1.118052,0.846766,0.225162,0.043508,
40.000000,24.000000,-70.840757,-2.239463,2.000000,1.000000,-1.000000,1.577709,5.850262,4.256861,2.001878,0.345103,
47.000000,27.000000,-25.023657,-5.087982,2.000000,1.000000,-1.000000,1.204850,1.164958,0.505677,0.353411,0.051112,
56.000000,34.000000,-42.770755,-1.778370,2.000000,1.000000,-1.000000,13.089913,11.898343,13.767507,8.090328,2.282733,
53.000000,26.000000,-28.023015,-0.933931,2.000000,1.000000,-1.000000,2.225025,2.551364,1.071584,1.161427,0.312924,
47.000000,38.000000,-29.043474,-1.098899,2.000000,1.000000,-1.000000,7.611235,8.253839,6.955421,4.384143,0.724708,
40.000000,29.000000,-28.871390,-1.520196,2.000000,1.000000,-1.000000,9.320800,12.640224,8.995635,4.237087,1.186486,
27.000000,23.000000,-24.873560,-2.394300,2.000000,1.000000,-1.000000,2.396076,2.242652,0.854332,0.272037,0.052706,
38.000000,23.000000,-24.300101,-0.831279,2.000000,1.000000,-1.000000,1.172922,1.892347,0.996003,0.242595,0.047634,
50.000000,24.000000,-43.287917,-1.329411,2.000000,1.000000,-1.000000,10.079996,18.051714,7.040651,8.418618,1.447708,
44.000000,29.000000,-40.117109,-1.639571,2.000000,1.000000,-1.000000,19.618550,21.106675,14.850508,9.001280,2.389014,
60.000000,35.000000,-18.893276,-1.542556,2.000000,1.000000,-1.000000,11.334409,14.828208,8.398674,5.467120,0.564022,
54.000000,34.000000,-32.015897,-1.299666,2.000000,1.000000,-1.000000,25.504370,35.367757,18.746044,9.714962,1.768809,
54.000000,30.000000,-21.499013,-1.099339,4.000000,1.000000,-1.000000,13.593435,14.177427,8.187092,8.793755,2.609582,
61.000000,34.000000,-26.158316,-3.292899,2.000000,1.000000,-1.000000,1.029018,1.528158,0.800679,0.411550,0.168731,
61.000000,35.000000,-27.015436,-0.175770,2.000000,1.000000,-1.000000,5.218002,3.478855,1.309915,1.433228,0.194184,
57.000000,43.000000,-26.843953,0.105657,2.000000,1.000000,-1.000000,3.341656,3.147619,3.410397,2.474689,0.416183,
35.000000,35.000000,-27.126155,-0.509554,2.000000,1.000000,-1.000000,10.099991,11.569243,6.667722,2.743267,0.816255,
44.000000,27.000000,-30.627619,0.360745,2.000000,1.000000,-1.000000,1.188475,2.550422,2.297912,0.831435,0.156256,
37.000000,23.000000,-32.140720,0.427498,2.000000,1.000000,-1.000000,1.535950,3.478083,3.347507,1.521184,0.356289,
21.000000,10.000000,-34.312038,-1.164744,2.000000,1.000000,-1.000000,1.720487,2.971716,1.597228,1.252427,0.230875,
