Attention,Meditation,Familiarity,MentalEffort,Appreciation,SignalQuality,EventTagging,Delta,Theta,Alpha,Beta,Gamma
53.000000,53.000000,1364.033709,4.000294,4.000000,1.000000,-1.000000,3.281724,3.690586,1.349417,0.722289,0.087608,
54.000000,64.000000,1991.869435,3.986575,2.000000,1.000000,-1.000000,3.215817,2.019221,1.454639,0.950198,0.134521,
48.000000,69.000000,1779.412141,1.084359,4.000000,1.000000,-1.000000,2.999549,2.857694,1.206894,0.832408,0.157194,
48.000000,74.000000,-10.708390,2.781307,4.000000,1.000000,-1.000000,9.316138,5.329986,3.950196,2.424863,0.594320,
37.000000,60.000000,33.669232,4.058060,2.000000,1.000000,-1.000000,1.201783,1.946810,0.975443,0.607048,0.196834,
29.000000,37.000000,808.877526,-3.221366,4.000000,1.000000,-1.000000,1.826849,3.112802,1.587542,0.626422,0.081456,
34.000000,38.000000,1056.065448,2.509899,2.000000,1.000000,-1.000000,2.725883,3.178392,2.253442,1.252770,0.134325,
27.000000,54.000000,-1890.165013,3.547301,4.000000,1.000000,-1.000000,2.943208,4.330648,2.484505,0.871989,0.179667,
38.000000,64.000000,-176.495208,1.852473,4.000000,1.000000,-1.000000,0.431210,1.472182,0.886874,0.247893,0.033607,
41.000000,74.000000,584.984553,-2.768160,4.000000,1.000000,-1.000000,1.679721,2.927695,1.977821,0.665128,0.061051,
40.000000,83.000000,-489.186606,2.370851,4.000000,1.000000,-1.000000,1.438933,3.727389,3.160841,1.312717,0.093701,
50.000000,74.000000,-1090.282044,3.903544,3.000000,1.000000,-1.000000,3.148729,3.103492,1.147313,0.523155,0.044614,
43.000000,77.000000,-225.474868,3.498728,2.000000,1.000000,-1.000000,2.667817,1.972764,0.771983,0.487898,0.085993,
43.000000,87.000000,-1097.200198,3.897226,2.000000,1.000000,-1.000000,0.973466,2.347451,1.426413,0.834864,0.092732,
48.000000,69.000000,-124.028213,3.869440,3.000000,1.000000,-1.000000,4.401812,4.439540,2.335816,1.390535,0.199768,
48.000000,54.000000,-111.105534,4.188288,2.000000,1.000000,-1.000000,2.634019,2.929535,1.304530,0.639569,0.135620,
48.000000,57.000000,-1028.072829,3.866781,2.000000,1.000000,-1.000000,1.221257,1.108579,0.489488,0.183360,0.015308,
57.000000,47.000000,-1355.060599,3.740482,3.000000,1.000000,-1.000000,1.062195,3.418829,2.050051,0.565035,0.072680,
56.000000,53.000000,-1071.684536,0.678851,3.000000,1.000000,-1.000000,1.748513,3.112608,2.283759,0.850914,0.137309,
40.000000,53.000000,964.236492,-2.629119,3.000000,1.000000,-1.000000,1.029209,1.349655,1.279613,0.737969,0.075108,
44.000000,40.000000,1461.634180,4.050909,2.000000,1.000000,-1.000000,1.870974,3.278337,1.763705,0.511320,0.068017,
43.000000,43.000000,2526.276799,2.984836,4.000000,1.000000,-1.000000,3.308764,2.948680,2.089023,0.962533,0.137823,
50.000000,51.000000,-1243.238220,2.115182,2.000000,1.000000,-1.000000,2.235999,2.534377,1.455093,0.559060,0.102840,
63.000000,51.000000,3323.151692,3.862778,2.000000,1.000000,-1.000000,2.724639,1.971113,1.095020,1.065536,0.117812,
56.000000,44.000000,1550.477407,1.473260,4.000000,1.000000,-1.000000,2.593529,3.525464,2.457518,0.915129,0.159478,
48.000000,34.000000,1739.221516,3.393389,4.000000,1.000000,-1.000000,1.328538,2.402163,1.124853,0.561824,0.125490,
44.000000,26.000000,2000.114941,3.528185,4.000000,1.000000,-1.000000,0.940899,1.133074,0.541040,0.188544,0.028818,
50.000000,40.000000,2391.174041,3.330587,4.000000,1.000000,-1.000000,3.046015,2.966126,2.197070,1.249161,0.151055,
54.000000,51.000000,922.327040,1.841821,4.000000,1.000000,-1.000000,2.240815,3.779493,1.943002,0.919686,0.068844,
61.000000,57.000000,-137.441463,3.324373,4.000000,1.000000,-1.000000,1.636534,1.192732,0.853554,0.526231,0.082434,
60.000000,69.000000,483.643345,0.757898,2.000000,1.000000,-1.000000,3.683708,4.709265,1.541825,0.624128,0.079871,
48.000000,61.000000,442.026211,1.694638,4.000000,1.000000,-1.000000,1.704270,2.139283,1.294068,0.471845,0.116299,
47.000000,70.000000,1406.565418,1.173223,4.000000,1.000000,-1.000000,1.951052,3.186308,1.652867,0.450243,0.081828,
47.000000,74.000000,-1173.102740,1.344873,2.000000,1.000000,-1.000000,0.902630,5.349573,5.337193,2.253100,0.457193,
29.000000,67.000000,860.696588,2.752128,4.000000,1.000000,-1.000000,1.426276,3.071304,2.526039,0.842808,0.090047,
27.000000,75.000000,787.391702,1.165796,3.000000,1.000000,-1.000000,1.413777,2.447865,1.610936,0.861393,0.081759,
34.000000,61.000000,692.969598,2.794402,4.000000,1.000000,-1.000000,1.519554,2.207636,1.018794,0.569006,0.078886,
37.000000,67.000000,-186.071634,2.534551,4.000000,1.000000,-1.000000,2.267258,5.201088,2.703122,0.823628,0.131312,
57.000000,66.000000,1176.804257,2.668195,4.000000,1.000000,-1.000000,2.454516,3.639387,1.444778,0.760971,0.241941,
56.000000,75.000000,-6619.804609,0.919228,4.000000,1.000000,-1.000000,1.488233,1.691207,1.134293,0.608876,0.081837,
50.000000,84.000000,-285.524555,2.095838,4.000000,1.000000,-1.000000,4.727463,4.455940,1.857928,0.543272,0.122092,
41.000000,69.000000,-2377.121947,-2.025787,2.000000,1.000000,-1.000000,2.086383,3.765887,1.810437,0.585928,0.116806,
37.000000,57.000000,-183.215091,3.200567,4.000000,1.000000,-1.000000,1.423364,2.163976,1.515344,0.576822,0.062816,
50.000000,57.000000,-612.401162,-1.225145,4.000000,1.000000,-1.000000,0.921622,1.958185,1.289743,0.621635,0.086975,
56.000000,35.000000,-1333.811638,1.323626,2.000000,1.000000,-1.000000,1.645961,3.945396,1.809008,0.517173,0.049941,
57.000000,44.000000,-1124.560295,3.272454,2.000000,1.000000,-1.000000,1.747479,2.554143,1.470476,0.799241,0.161417,
56.000000,41.000000,-712.223701,3.014214,3.000000,1.000000,-1.000000,1.512463,2.969144,2.255802,0.929015,0.118215,
56.000000,41.000000,-2528.481572,2.793870,2.000000,1.000000,-1.000000,0.796348,2.121067,1.744428,0.320987,0.103434,
53.000000,61.000000,-755.659504,0.320569,2.000000,1.000000,-1.000000,0.878624,3.005432,1.762802,0.427768,0.041712,
56.000000,37.000000,-464.383049,-0.583450,1.000000,1.000000,-1.000000,3.376170,4.006235,3.793238,2.938458,0.860484,
63.000000,40.000000,-2002.531409,1.152272,2.000000,1.000000,-1.000000,2.967720,3.210062,2.165841,1.464654,0.261912,
60.000000,37.000000,674.016743,1.069277,1.000000,1.000000,-1.000000,1.250011,2.383443,1.536044,0.459423,0.099126,
57.000000,40.000000,-647.305752,2.995888,2.000000,1.000000,-1.000000,1.358206,2.954207,2.255258,0.929183,0.071450,
63.000000,63.000000,1081.108218,-0.900140,4.000000,1.000000,-1.000000,1.764987,3.011775,0.999140,0.823999,0.097808,
60.000000,70.000000,697.506562,-1.334827,4.000000,1.000000,-1.000000,0.786225,1.845250,1.225516,0.341376,0.106524,
56.000000,78.000000,-249.085883,0.206784,2.000000,1.000000,-1.000000,1.593478,3.057655,1.793539,0.636712,0.119105,
50.000000,75.000000,-2087.521356,1.459245,2.000000,1.000000,-1.000000,1.372640,2.652758,1.677095,0.576282,0.216168,
41.000000,87.000000,-2061.410772,2.723428,2.000000,1.000000,-1.000000,1.709928,1.619182,0.760020,0.439497,0.050358,
44.000000,88.000000,-1126.928410,2.344264,3.000000,1.000000,-1.000000,1.773298,4.645790,2.770058,0.953559,0.073695,
53.000000,69.000000,-360.089280,3.169609,3.000000,1.000000,-1.000000,0.708111,2.314580,2.137927,0.741260,0.103356,
61.000000,74.000000,-914.841009,-0.053252,2.000000,1.000000,-1.000000,1.564742,3.751192,2.175720,1.131483,0.154082,
64.000000,53.000000,-347.258625,3.203812,2.000000,1.000000,-1.000000,1.858292,2.201444,1.195618,0.816772,0.151028,
63.000000,41.000000,17.700174,-4.271744,4.000000,1.000000,-1.000000,3.095809,3.003722,1.223869,0.573661,0.078924,
51.000000,43.000000,177.050570,2.290388,4.000000,1.000000,-1.000000,2.757718,2.892781,0.783085,0.592474,0.101056,
44.000000,43.000000,202.866483,1.317635,4.000000,1.000000,-1.000000,2.810872,3.529473,1.623874,0.730597,0.174578,
48.000000,40.000000,-845.600155,0.371412,3.000000,1.000000,-1.000000,1.838509,2.497869,1.367787,1.147509,0.191436,
47.000000,35.000000,-3376.596466,2.719261,4.000000,1.000000,-1.000000,2.452903,3.455275,2.361635,0.734584,0.072763,
56.000000,47.000000,-783.679397,2.533666,2.000000,1.000000,-1.000000,1.764184,5.421775,3.846551,1.210683,0.191842,
60.000000,43.000000,-9459.383193,2.937573,4.000000,1.000000,-1.000000,1.479766,2.979309,1.567256,0.365371,0.040795,
57.000000,56.000000,-675.977529,0.311528,4.000000,1.000000,-1.000000,1.234902,2.863575,1.637885,0.423934,0.076130,
54.000000,70.000000,-1768.237308,2.508063,2.000000,1.000000,-1.000000,0.824492,1.854810,1.750191,0.699161,0.110640,
50.000000,74.000000,-428.433961,2.177155,3.000000,1.000000,-1.000000,1.273174,3.419595,1.854856,0.783418,0.105361,
43.000000,78.000000,-3776.473152,1.563563,3.000000,1.000000,-1.000000,1.614358,4.110957,1.722549,0.466792,0.092891,
41.000000,63.000000,-3271.507759,-5.202071,3.000000,1.000000,-1.000000,1.366303,2.559321,2.152867,0.862613,0.083165,
47.000000,61.000000,-3220.901464,-5.784625,3.000000,1.000000,-1.000000,1.260775,2.089156,1.026559,0.466924,0.064704,
47.000000,57.000000,-2564.842155,2.544500,4.000000,1.000000,-1.000000,2.290396,3.918702,2.399050,0.957325,0.104580,
53.000000,44.000000,-2415.011968,2.735132,4.000000,1.000000,-1.000000,2.025290,2.631550,1.610276,0.695021,0.305524,
50.000000,57.000000,-3113.125030,-4.497130,4.000000,1.000000,-1.000000,1.501536,3.049160,1.208587,0.322347,0.080199,
50.000000,57.000000,-4220.888757,-1.675040,4.000000,1.000000,-1.000000,0.627817,2.467250,1.919387,0.777441,0.155869,
44.000000,34.000000,-3553.129673,1.230228,4.000000,1.000000,-1.000000,1.343793,1.958441,1.824939,0.624041,0.133122,
37.000000,43.000000,-3183.372965,2.276461,4.000000,1.000000,-1.000000,2.156071,1.878195,1.052333,0.551008,0.063633,
47.000000,30.000000,-5633.200157,2.368608,4.000000,1.000000,-1.000000,3.738142,3.046812,2.039183,0.832288,0.138950,
44.000000,30.000000,-2388.401814,-0.279144,2.000000,1.000000,-1.000000,1.102939,1.864046,1.225915,0.634144,0.103876,
44.000000,41.000000,-5409.632554,2.584196,4.000000,1.000000,-1.000000,2.121383,3.055349,1.451414,0.575776,0.142354,
47.000000,35.000000,-3117.203495,1.497947,4.000000,1.000000,-1.000000,0.890898,3.053057,1.869011,0.557325,0.063925,
43.000000,40.000000,-862.867932,2.071311,2.000000,1.000000,-1.000000,1.615508,3.962782,5.108812,2.766029,0.362847,
43.000000,35.000000,-3809.679868,1.824867,3.000000,1.000000,-1.000000,3.508323,3.009590,1.657140,1.172943,0.303029,
44.000000,44.000000,-1679.275728,1.960075,2.000000,1.000000,-1.000000,2.820242,4.792604,2.111570,0.889081,0.184530,
53.000000,41.000000,-3719.317501,3.226199,2.000000,1.000000,-1.000000,2.565730,3.993270,1.523025,0.719391,0.155843,
44.000000,35.000000,-2013.414748,3.153664,2.000000,1.000000,-1.000000,1.591446,4.524021,2.509606,0.768165,0.068649,
37.000000,38.000000,-1083.729104,3.219743,2.000000,1.000000,-1.000000,1.841437,2.197314,1.391362,0.439894,0.088298,
37.000000,43.000000,-1501.714617,2.546110,2.000000,1.000000,-1.000000,1.528883,2.187764,1.177821,0.841284,0.239047,
34.000000,57.000000,-726.208910,1.711532,2.000000,1.000000,-1.000000,3.172366,3.004881,1.085483,0.427602,0.063687,
43.000000,75.000000,-765.115257,3.927792,3.000000,1.000000,-1.000000,1.413360,2.790922,1.492780,0.724383,0.089591,
53.000000,67.000000,-898.877727,3.878209,4.000000,1.000000,-1.000000,1.164921,2.082271,1.321425,0.647410,0.114606,
51.000000,78.000000,-1253.647549,3.810104,4.000000,1.000000,-1.000000,1.474747,2.056065,1.311693,0.510612,0.093955,
51.000000,60.000000,-1455.086322,3.919601,2.000000,1.000000,-1.000000,1.393857,4.115695,2.383722,0.518704,0.085173,
51.000000,64.000000,-1400.196031,3.178923,2.000000,1.000000,-1.000000,2.250324,1.763251,0.895541,0.586943,0.106110,
51.000000,81.000000,-2522.659852,3.911671,4.000000,1.000000,-1.000000,1.717624,2.460731,1.561433,0.452517,0.057495,
57.000000,64.000000,-2034.404849,3.474431,2.000000,1.000000,-1.000000,1.424622,3.313897,1.605039,0.594605,0.081770,
56.000000,78.000000,-1869.354708,3.873650,3.000000,1.000000,-1.000000,2.066399,2.542132,1.939689,1.594495,0.220167,
56.000000,70.000000,-2046.491593,3.438016,4.000000,1.000000,-1.000000,2.219910,1.701587,0.931175,0.747688,0.133384,
57.000000,51.000000,-1820.982562,4.074268,2.000000,1.000000,-1.000000,1.130662,2.187206,1.494727,0.598177,0.090555,
47.000000,47.000000,-2335.477108,4.124127,2.000000,1.000000,-1.000000,1.740284,1.901333,1.016171,0.457628,0.046346,
50.000000,30.000000,-1899.961273,3.280457,4.000000,1.000000,-1.000000,1.568320,1.643554,1.217767,0.655123,0.101556,
44.000000,40.000000,-3632.514775,3.860771,4.000000,1.000000,-1.000000,1.294109,1.341439,0.900149,0.562038,0.123107,
50.000000,48.000000,-2220.003263,3.904122,2.000000,1.000000,-1.000000,1.361744,0.740017,0.989548,0.810675,0.105456,
48.000000,63.000000,-3722.600268,3.432947,4.000000,1.000000,-1.000000,1.667879,2.627542,1.470419,0.603379,0.136670,
50.000000,63.000000,-3835.159768,-3.021168,2.000000,1.000000,-1.000000,2.944311,3.735887,2.095861,0.597485,0.171231,
47.000000,51.000000,-11227.741746,-2.822480,4.000000,1.000000,-1.000000,1.745820,3.671624,3.417738,0.455392,0.165264,
43.000000,54.000000,-5353.851065,3.003469,2.000000,1.000000,-1.000000,2.921374,4.251268,3.639237,2.019423,0.206455,
50.000000,63.000000,-4956.052590,3.446088,4.000000,1.000000,-1.000000,0.651967,2.403997,1.779903,0.817340,0.189799,
34.000000,66.000000,-1718.520339,3.383303,4.000000,1.000000,-1.000000,1.418550,1.850374,1.324239,0.507733,0.127064,
37.000000,67.000000,-303.025068,2.732702,4.000000,1.000000,-1.000000,3.118806,3.886981,2.789772,0.712848,0.104912,
40.000000,60.000000,-1291.764870,0.283342,4.000000,1.000000,-1.000000,3.249074,5.127176,2.888928,1.585728,0.088169,
48.000000,53.000000,-1267.409633,3.410991,2.000000,1.000000,-1.000000,1.026823,2.083028,1.270884,0.221873,0.043231,
63.000000,57.000000,-287.751317,3.551289,2.000000,1.000000,-1.000000,0.901250,1.436652,1.105224,0.673680,0.068323,
63.000000,66.000000,-4198.801634,3.810478,3.000000,1.000000,-1.000000,0.777507,2.171698,1.677751,0.525180,0.093865,
57.000000,67.000000,-1862.842635,3.663086,2.000000,1.000000,-1.000000,1.239309,2.313788,1.338607,0.506826,0.124511,
